imageId,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
5,2.19E+00,2.22E+00,0.00E+00,5.43E-01,3.09E+00,0.00E+00,2.32E+00,2.59E+00,2.37E+00,1.80E+00,2.70E+00,0.00E+00,4.25E+00,1.16E+00,0.00E+00
5,1.09E+00,2.76E+00,0.00E+00,5.35E-01,2.96E+00,0.00E+00,3.20E+00,2.78E+00,1.61E+00,1.17E+00,3.78E+00,0.00E+00,4.04E+00,2.13E+00,0.00E+00
5,8.50E-01,3.21E+00,0.00E+00,0.00E+00,3.81E+00,0.00E+00,2.51E+00,4.11E+00,2.91E+00,1.75E+00,3.61E+00,0.00E+00,1.95E+00,7.29E-01,0.00E+00
5,1.52E+00,3.11E+00,0.00E+00,1.36E+00,4.59E+00,0.00E+00,2.37E+00,2.23E+00,1.09E-01,1.10E+00,2.94E+00,0.00E+00,2.63E+00,1.65E+00,0.00E+00
5,1.89E+00,3.92E+00,0.00E+00,6.35E-01,2.48E+00,0.00E+00,1.44E+00,2.97E+00,1.42E+00,1.73E+00,1.82E+00,0.00E+00,3.39E+00,1.57E+00,0.00E+00
5,1.03E+00,2.62E+00,0.00E+00,7.30E-01,3.06E+00,0.00E+00,2.04E+00,3.24E+00,1.35E+00,1.71E+00,2.61E+00,0.00E+00,4.36E+00,3.62E-01,0.00E+00
5,2.04E+00,2.70E+00,0.00E+00,6.85E-01,3.61E+00,0.00E+00,1.94E+00,2.35E+00,1.46E+00,1.17E+00,2.11E+00,0.00E+00,3.00E+00,5.92E-01,0.00E+00
5,1.78E+00,3.47E+00,0.00E+00,1.12E+00,2.41E+00,0.00E+00,2.92E+00,2.20E+00,1.26E+00,1.90E+00,3.13E+00,0.00E+00,4.33E+00,1.31E+00,0.00E+00
5,1.77E+00,2.47E+00,0.00E+00,4.30E-01,3.67E+00,0.00E+00,1.99E+00,2.84E+00,2.33E+00,1.77E+00,2.27E+00,0.00E+00,3.37E+00,7.28E-01,0.00E+00
5,2.51E+00,2.63E+00,0.00E+00,9.16E-01,3.29E+00,0.00E+00,2.66E+00,2.50E+00,1.26E+00,1.89E+00,3.35E+00,0.00E+00,3.51E+00,8.25E-01,0.00E+00
5,2.11E+00,2.74E+00,0.00E+00,1.17E+00,3.54E+00,0.00E+00,3.05E+00,3.34E+00,2.10E+00,1.98E+00,2.85E+00,0.00E+00,3.48E+00,1.49E+00,0.00E+00
5,1.37E+00,3.07E+00,0.00E+00,8.49E-01,3.45E+00,0.00E+00,3.67E+00,4.42E+00,1.84E+00,2.53E+00,4.17E+00,0.00E+00,3.39E+00,1.37E+00,0.00E+00
5,1.43E+00,3.64E+00,0.00E+00,1.01E+00,4.68E+00,0.00E+00,2.34E+00,3.02E+00,2.82E+00,8.40E-01,3.09E+00,0.00E+00,3.04E+00,1.24E+00,0.00E+00
